Date,Product,Category,Region,Age Group,Units Sold,Unit Price,Total Sales
2024-04-16,Laptop,Electronics,East,46+,8,1047.42,8379.36
2023-02-20,T-Shirt,Clothing,North,26-35,15,31.13,466.95
2024-09-30,Sneakers,Footwear,West,26-35,14,87.31,1222.34
2022-03-27,Watch,Accessories,East,46+,20,162.09,3241.8
2024-12-11,Laptop,Electronics,North,46+,15,1064.34,15965.1
2022-03-28,T-Shirt,Clothing,West,18-25,18,28.35,510.3
2022-04-11,T-Shirt,Clothing,East,46+,13,31.23,405.99
2023-08-09,Backpack,Accessories,South,46+,10,80.79,807.9
2022-04-22,Headphones,Electronics,West,46+,3,207.86,623.58
2022-08-20,Headphones,Electronics,South,46+,14,191.97,2687.58
2022-02-21,Headphones,Electronics,West,26-35,15,182.69,2740.35
2023-10-26,Headphones,Electronics,North,18-25,4,207.21,828.84
2024-01-14,Phone,Electronics,West,26-35,13,706.04,9178.52
2022-03-31,Headphones,Electronics,East,26-35,6,213.68,1282.08
2023-01-02,Laptop,Electronics,West,36-45,10,1044.99,10449.9
2024-07-02,Jeans,Clothing,South,18-25,5,64.43,322.15
2022-01-08,Jeans,Clothing,North,46+,16,63.19,1011.04
2022-01-12,Backpack,Accessories,South,26-35,19,81.52,1548.88
2024-07-18,Watch,Accessories,West,18-25,20,151.98,3039.6
2023-05-17,Jeans,Clothing,South,18-25,6,54.85,329.1
2023-12-16,Laptop,Electronics,South,18-25,19,1066.54,20264.26
2023-09-04,Sneakers,Footwear,North,18-25,4,87.52,350.08
2023-01-01,Headphones,Electronics,East,26-35,15,208.92,3133.8
2024-01-08,Laptop,Electronics,North,36-45,11,972.74,10700.14
2024-02-16,Phone,Electronics,West,18-25,10,694.92,6949.2
2022-09-07,Jeans,Clothing,East,46+,17,55.58,944.86
2023-03-05,Laptop,Electronics,North,18-25,16,1043.77,16700.32
2023-08-12,Watch,Accessories,East,36-45,17,151.24,2571.08
2023-12-26,Headphones,Electronics,West,46+,16,211.26,3380.16
2023-04-22,Jeans,Clothing,South,18-25,4,53.38,213.52
2022-08-30,T-Shirt,Clothing,West,46+,2,28.04,56.08
2023-03-11,Laptop,Electronics,South,36-45,9,1056.98,9512.82
2023-09-23,Jeans,Clothing,East,18-25,4,61.19,244.76
2023-12-01,Watch,Accessories,North,26-35,7,143.95,1007.65
2023-11-24,Backpack,Accessories,West,18-25,5,78.71,393.55
2024-08-01,Sneakers,Footwear,West,46+,2,94.96,189.92
2023-09-06,Sneakers,Footwear,North,26-35,19,92.3,1753.7
2023-12-26,Phone,Electronics,South,36-45,1,676.51,676.51
2024-02-08,Headphones,Electronics,West,26-35,20,183.75,3675.0
2023-09-24,Sneakers,Footwear,North,36-45,14,81.65,1143.1
2023-05-02,Sneakers,Footwear,West,36-45,7,89.45,626.15
2022-12-25,Phone,Electronics,East,18-25,7,756.79,5297.53
2024-06-27,Laptop,Electronics,West,26-35,7,967.06,6769.42
2024-09-17,Jeans,Clothing,East,26-35,4,62.8,251.2
2024-11-23,Headphones,Electronics,South,18-25,15,194.53,2917.95
2024-12-05,Phone,Electronics,North,36-45,2,725.15,1450.3
2022-06-28,Sneakers,Footwear,West,18-25,4,89.37,357.48
2023-10-02,Laptop,Electronics,East,26-35,11,939.17,10330.87
2023-08-10,Jeans,Clothing,East,46+,4,56.32,225.28
2022-11-19,Jeans,Clothing,North,18-25,20,59.7,1194.0
2022-07-29,T-Shirt,Clothing,East,36-45,9,26.92,242.28
2023-08-04,T-Shirt,Clothing,South,18-25,10,29.66,296.6
2023-11-25,Backpack,Accessories,North,26-35,1,78.54,78.54
2022-04-14,Phone,Electronics,West,18-25,3,688.72,2066.16
2023-01-02,Backpack,Accessories,East,36-45,11,84.02,924.22
2024-12-28,Phone,Electronics,West,26-35,3,742.74,2228.22
2024-08-17,Phone,Electronics,West,36-45,15,694.88,10423.2
2023-04-04,Headphones,Electronics,East,36-45,13,186.4,2423.2
2023-11-08,Sneakers,Footwear,West,46+,1,81.26,81.26
2022-08-20,Sneakers,Footwear,West,46+,6,85.12,510.72
2023-12-15,Headphones,Electronics,North,46+,4,192.07,768.28
2022-05-26,Jeans,Clothing,West,46+,19,57.98,1101.62
2023-05-15,Headphones,Electronics,West,46+,3,192.66,577.98
2024-06-01,Watch,Accessories,East,26-35,6,153.85,923.1
2022-06-09,Backpack,Accessories,North,46+,11,79.87,878.57
2024-06-30,Headphones,Electronics,East,46+,3,202.91,608.73
2024-02-16,Sneakers,Footwear,West,18-25,3,83.97,251.91
2022-10-12,Laptop,Electronics,South,26-35,15,1005.24,15078.6
2024-03-09,Backpack,Accessories,South,26-35,11,75.84,834.24
2023-09-16,Watch,Accessories,East,18-25,19,134.34,2552.46
2024-11-11,Watch,Accessories,South,36-45,2,145.1,290.2
2022-04-19,Laptop,Electronics,East,18-25,10,1072.06,10720.6
2023-04-27,Watch,Accessories,West,36-45,13,146.2,1900.6
2024-06-10,T-Shirt,Clothing,South,46+,5,27.19,135.95
2024-02-27,Sneakers,Footwear,West,26-35,10,97.85,978.5
2022-09-15,Headphones,Electronics,North,18-25,1,184.83,184.83
2024-09-23,Watch,Accessories,South,18-25,5,153.24,766.2
2024-05-01,Backpack,Accessories,West,26-35,15,79.15,1187.25
2024-07-10,Watch,Accessories,East,26-35,6,146.76,880.56
2022-01-16,Backpack,Accessories,South,36-45,14,85.74,1200.36
2024-01-22,Laptop,Electronics,North,46+,12,921.71,11060.52
2024-09-13,Phone,Electronics,South,36-45,15,701.37,10520.55
2024-12-07,Phone,Electronics,South,46+,3,724.73,2174.19
2023-10-02,Laptop,Electronics,East,18-25,16,989.82,15837.12
2024-08-18,Sneakers,Footwear,West,36-45,10,85.25,852.5
2022-03-14,Jeans,Clothing,East,18-25,16,59.92,958.72
2022-04-16,Jeans,Clothing,North,36-45,16,54.07,865.12
2024-11-01,Phone,Electronics,East,36-45,5,715.19,3575.95
2023-07-18,Jeans,Clothing,North,18-25,20,55.16,1103.2
2022-11-06,Backpack,Accessories,East,26-35,9,83.46,751.14
2023-04-29,Backpack,Accessories,South,18-25,11,86.65,953.15
2022-10-25,Headphones,Electronics,West,46+,13,188.57,2451.41
2024-06-20,Headphones,Electronics,South,36-45,2,204.66,409.32
2022-08-26,Laptop,Electronics,South,46+,13,994.25,12925.25
2024-09-02,T-Shirt,Clothing,West,46+,16,27.62,441.92
2024-12-22,Watch,Accessories,North,36-45,15,145.48,2182.2
2023-10-09,Laptop,Electronics,North,36-45,14,1021.08,14295.12
2023-07-13,Sneakers,Footwear,East,36-45,4,84.65,338.6
2024-03-12,Backpack,Accessories,South,26-35,17,76.43,1299.31
2023-01-04,Sneakers,Footwear,North,18-25,3,80.31,240.93
2022-07-20,Phone,Electronics,West,36-45,8,730.49,5843.92
2023-05-31,T-Shirt,Clothing,North,18-25,20,26.63,532.6
2023-03-21,Phone,Electronics,North,18-25,20,647.26,12945.2
2023-01-14,Phone,Electronics,South,36-45,10,694.38,6943.8
2022-06-05,Backpack,Accessories,East,46+,11,75.17,826.87
2022-06-01,Jeans,Clothing,North,46+,13,57.03,741.39
2022-05-04,Jeans,Clothing,East,26-35,15,53.92,808.8
2023-02-15,Watch,Accessories,South,46+,4,138.39,553.56
2024-06-02,T-Shirt,Clothing,North,46+,9,26.7,240.3
2022-05-30,Phone,Electronics,East,46+,1,754.43,754.43
2022-11-01,Laptop,Electronics,North,46+,9,929.39,8364.51
2023-11-07,Watch,Accessories,North,46+,16,147.09,2353.44
2022-05-24,T-Shirt,Clothing,North,46+,16,26.8,428.8
2024-01-06,Sneakers,Footwear,East,46+,2,91.35,182.7
2022-07-05,Sneakers,Footwear,East,18-25,15,93.64,1404.6
2023-08-17,T-Shirt,Clothing,South,18-25,13,29.93,389.09
2023-09-05,Watch,Accessories,North,36-45,16,136.63,2186.08
2024-06-15,T-Shirt,Clothing,South,18-25,7,26.25,183.75
2023-05-04,Backpack,Accessories,West,18-25,18,81.27,1462.86
2024-10-20,Backpack,Accessories,North,18-25,11,71.99,791.89
2022-03-29,Watch,Accessories,North,26-35,17,147.76,2511.92
2022-11-02,T-Shirt,Clothing,North,18-25,5,28.94,144.7
2022-02-09,Backpack,Accessories,North,26-35,5,71.33,356.65
2022-04-13,Jeans,Clothing,North,46+,20,55.11,1102.2
2022-05-11,Phone,Electronics,North,46+,20,740.82,14816.4
2023-03-28,Phone,Electronics,South,46+,11,742.55,8168.05
2024-04-03,Sneakers,Footwear,North,26-35,11,94.99,1044.89
2023-03-13,Laptop,Electronics,South,36-45,3,923.22,2769.66
2022-10-17,Watch,Accessories,South,36-45,18,139.02,2502.36
2023-05-14,Laptop,Electronics,South,18-25,20,974.25,19485.0
2022-11-20,Laptop,Electronics,West,18-25,1,900.54,900.54
2022-07-02,Jeans,Clothing,West,46+,5,55.53,277.65
2023-07-09,Backpack,Accessories,West,26-35,6,80.75,484.5
2022-03-19,Headphones,Electronics,West,18-25,10,192.94,1929.4
2022-01-10,T-Shirt,Clothing,South,18-25,17,31.77,540.09
2024-01-12,T-Shirt,Clothing,West,26-35,9,26.41,237.69
2022-08-19,Headphones,Electronics,West,46+,6,185.46,1112.76
2022-03-30,Laptop,Electronics,East,36-45,7,985.95,6901.65
2023-11-16,Backpack,Accessories,North,18-25,2,85.71,171.42
2022-12-27,Headphones,Electronics,North,46+,17,183.72,3123.24
2023-04-27,Backpack,Accessories,East,46+,7,82.9,580.3
2023-10-30,T-Shirt,Clothing,North,36-45,8,26.67,213.36
2024-04-24,T-Shirt,Clothing,West,26-35,3,28.83,86.49
2024-09-19,Laptop,Electronics,West,26-35,7,1084.49,7591.43
2024-07-20,Headphones,Electronics,West,36-45,5,197.32,986.6
2023-02-02,Sneakers,Footwear,East,26-35,11,82.36,905.96
2022-05-03,Jeans,Clothing,South,18-25,15,58.51,877.65
2022-12-17,Sneakers,Footwear,South,36-45,20,82.89,1657.8
2022-12-15,T-Shirt,Clothing,North,46+,17,28.94,491.98
2023-03-20,Backpack,Accessories,West,36-45,1,82.63,82.63
2023-05-21,T-Shirt,Clothing,East,46+,19,27.39,520.41
2022-11-02,Laptop,Electronics,West,18-25,2,1097.16,2194.32
2024-10-29,Laptop,Electronics,West,46+,16,1060.88,16974.08
2022-07-20,Backpack,Accessories,West,26-35,3,79.92,239.76
2022-01-26,Watch,Accessories,South,26-35,12,142.91,1714.92
2022-07-05,Laptop,Electronics,West,36-45,6,1039.62,6237.72
2022-02-19,Backpack,Accessories,West,26-35,13,74.02,962.26
2024-01-29,Backpack,Accessories,North,18-25,13,85.22,1107.86
2023-11-13,Laptop,Electronics,East,46+,9,1038.57,9347.13
2023-03-01,Phone,Electronics,East,18-25,17,761.26,12941.42
2024-01-16,Laptop,Electronics,North,46+,12,992.08,11904.96
2022-03-25,Sneakers,Footwear,East,26-35,18,92.65,1667.7
2023-02-24,Headphones,Electronics,East,26-35,18,183.62,3305.16
2024-09-06,T-Shirt,Clothing,South,36-45,12,31.31,375.72
2024-10-28,Watch,Accessories,East,18-25,3,145.21,435.63
2024-07-15,Backpack,Accessories,North,46+,18,81.82,1472.76
2024-12-27,Jeans,Clothing,West,36-45,3,55.32,165.96
2024-07-26,Phone,Electronics,North,46+,6,669.41,4016.46
2022-06-07,Phone,Electronics,South,36-45,4,726.55,2906.2
2024-10-13,Headphones,Electronics,South,18-25,10,195.68,1956.8
2022-09-28,Backpack,Accessories,East,46+,15,82.76,1241.4
2022-02-13,Jeans,Clothing,South,18-25,1,63.39,63.39
2023-04-21,Sneakers,Footwear,West,36-45,11,88.75,976.25
2024-12-21,Backpack,Accessories,West,36-45,19,73.18,1390.42
2023-09-20,Headphones,Electronics,East,26-35,16,193.9,3102.4
2023-08-14,Laptop,Electronics,South,36-45,10,990.19,9901.9
2022-12-07,Headphones,Electronics,East,26-35,6,212.51,1275.06
2022-11-11,Headphones,Electronics,South,18-25,2,218.65,437.3
2022-09-17,Backpack,Accessories,East,36-45,6,74.34,446.04
2022-03-13,Sneakers,Footwear,East,26-35,12,88.08,1056.96
2022-11-29,Jeans,Clothing,North,18-25,13,64.09,833.17
2022-10-25,Backpack,Accessories,East,26-35,1,86.43,86.43
2024-11-05,Sneakers,Footwear,East,46+,10,97.36,973.6
2022-10-29,Backpack,Accessories,East,18-25,16,85.32,1365.12
2022-10-13,Phone,Electronics,East,18-25,13,715.43,9300.59
2023-03-28,Backpack,Accessories,East,18-25,11,71.97,791.67
2023-02-04,T-Shirt,Clothing,East,26-35,1,26.58,26.58
2024-07-01,Phone,Electronics,West,26-35,16,673.52,10776.32
2024-11-13,Laptop,Electronics,East,46+,5,1042.15,5210.75
2024-05-25,Sneakers,Footwear,West,36-45,1,85.17,85.17
2023-12-21,Jeans,Clothing,West,18-25,7,61.69,431.83
2024-06-28,Watch,Accessories,West,36-45,6,158.11,948.66
2024-05-18,Watch,Accessories,South,18-25,5,140.29,701.45
2024-08-30,Sneakers,Footwear,North,46+,3,80.22,240.66
2023-07-14,Watch,Accessories,South,46+,19,156.61,2975.59
2022-10-08,T-Shirt,Clothing,South,46+,10,29.31,293.1
2022-03-28,Jeans,Clothing,East,46+,18,61.83,1112.94
2023-04-05,Laptop,Electronics,North,26-35,9,959.07,8631.63
2024-08-25,Phone,Electronics,East,46+,6,697.87,4187.22
2023-05-17,Laptop,Electronics,North,36-45,16,1097.77,17564.32
2022-05-17,Sneakers,Footwear,West,46+,9,91.28,821.52
2024-09-01,Phone,Electronics,East,18-25,9,651.87,5866.83
2022-04-30,Headphones,Electronics,East,46+,5,193.32,966.6
2022-04-19,Jeans,Clothing,East,46+,12,53.67,644.04
2023-08-21,Phone,Electronics,South,26-35,4,712.81,2851.24
2022-12-09,Sneakers,Footwear,East,36-45,9,92.3,830.7
2024-01-13,Phone,Electronics,East,26-35,1,648.25,648.25
2023-07-31,Sneakers,Footwear,West,46+,11,96.49,1061.39
2022-11-30,Phone,Electronics,South,26-35,17,660.01,11220.17
2023-01-21,Phone,Electronics,West,46+,3,645.4,1936.2
2022-09-26,Laptop,Electronics,West,36-45,10,1037.17,10371.7
2022-10-12,Backpack,Accessories,East,26-35,10,71.55,715.5
2022-08-31,T-Shirt,Clothing,South,26-35,8,27.88,223.04
2023-03-06,Headphones,Electronics,North,46+,4,182.19,728.76
2024-09-18,Watch,Accessories,North,26-35,4,135.08,540.32
2024-11-17,Laptop,Electronics,West,18-25,9,907.75,8169.75
2023-09-10,Laptop,Electronics,North,18-25,20,940.14,18802.8
2023-02-14,Headphones,Electronics,East,18-25,3,184.89,554.67
2023-07-23,Sneakers,Footwear,East,26-35,17,94.0,1598.0
2023-05-11,Phone,Electronics,North,18-25,17,659.44,11210.48
2023-01-28,Jeans,Clothing,South,18-25,4,64.01,256.04
2024-10-29,Backpack,Accessories,East,26-35,15,81.74,1226.1
2022-08-08,Headphones,Electronics,East,46+,14,187.63,2626.82
2023-04-12,Watch,Accessories,North,36-45,4,147.98,591.92
2024-11-30,Headphones,Electronics,West,36-45,10,201.27,2012.7
2022-03-25,Phone,Electronics,East,46+,4,682.89,2731.56
2024-07-24,Jeans,Clothing,West,26-35,18,57.91,1042.38
2024-05-26,T-Shirt,Clothing,North,46+,12,27.14,325.68
2024-10-03,Phone,Electronics,West,46+,17,721.17,12259.89
2022-06-24,Phone,Electronics,South,46+,13,726.27,9441.51
2022-07-28,Headphones,Electronics,North,36-45,7,192.58,1348.06
2024-04-07,Phone,Electronics,South,46+,16,668.04,10688.64
2023-07-14,Watch,Accessories,East,46+,20,162.41,3248.2
2024-09-19,Jeans,Clothing,South,46+,4,54.54,218.16
2024-09-29,Backpack,Accessories,South,26-35,1,72.67,72.67
2022-04-19,Phone,Electronics,West,18-25,6,682.59,4095.54
2023-11-01,Headphones,Electronics,East,18-25,3,205.41,616.23
2024-11-30,Backpack,Accessories,West,26-35,10,81.56,815.6
2024-10-01,Jeans,Clothing,East,18-25,2,64.79,129.58
2022-09-01,Watch,Accessories,West,36-45,13,147.29,1914.77
2022-03-15,Laptop,Electronics,South,36-45,6,997.3,5983.8
2022-10-03,Jeans,Clothing,West,46+,4,59.81,239.24
2024-10-01,Backpack,Accessories,West,26-35,17,71.98,1223.66
2023-06-24,Backpack,Accessories,West,36-45,10,76.16,761.6
2022-02-27,Laptop,Electronics,South,36-45,12,1060.85,12730.2
2022-02-25,Sneakers,Footwear,West,18-25,14,86.24,1207.36
2024-01-02,Watch,Accessories,East,18-25,8,141.48,1131.84
2023-10-02,Phone,Electronics,North,36-45,4,676.3,2705.2
2022-02-10,Sneakers,Footwear,North,46+,14,90.21,1262.94
2024-05-12,Jeans,Clothing,North,46+,19,53.36,1013.84
2023-10-11,Watch,Accessories,West,36-45,19,137.01,2603.19
2024-09-27,Phone,Electronics,South,36-45,16,699.39,11190.24
2023-11-27,Headphones,Electronics,East,36-45,14,187.13,2619.82
2022-06-04,T-Shirt,Clothing,East,36-45,2,27.82,55.64
2024-04-03,T-Shirt,Clothing,North,18-25,19,28.05,532.95
2022-05-18,Backpack,Accessories,West,26-35,12,83.67,1004.04
2023-09-11,Jeans,Clothing,West,36-45,7,57.99,405.93
2023-05-30,Backpack,Accessories,South,18-25,17,84.73,1440.41
2024-10-19,T-Shirt,Clothing,West,36-45,18,30.79,554.22
2024-06-07,Laptop,Electronics,South,36-45,15,928.62,13929.3
2022-11-05,Jeans,Clothing,West,46+,11,63.25,695.75
2022-05-12,T-Shirt,Clothing,West,36-45,10,29.85,298.5
2023-06-10,T-Shirt,Clothing,West,26-35,4,26.97,107.88
2022-02-26,T-Shirt,Clothing,East,46+,16,29.35,469.6
2024-06-12,Watch,Accessories,North,26-35,6,142.23,853.38
2022-03-01,Jeans,Clothing,East,26-35,2,64.47,128.94
2024-09-22,Laptop,Electronics,North,18-25,11,1019.3,11212.3
2022-05-11,Watch,Accessories,East,18-25,13,162.21,2108.73
2022-10-15,T-Shirt,Clothing,North,18-25,17,29.95,509.15
2024-12-11,Jeans,Clothing,West,18-25,8,60.18,481.44
2023-10-04,Sneakers,Footwear,West,26-35,14,83.98,1175.72
2022-08-07,Headphones,Electronics,South,36-45,15,195.35,2930.25
2022-04-25,Backpack,Accessories,East,18-25,11,79.72,876.92
2024-08-30,T-Shirt,Clothing,East,26-35,12,28.86,346.32
2024-01-24,Jeans,Clothing,North,18-25,2,61.25,122.5
2023-05-06,Jeans,Clothing,West,36-45,12,63.76,765.12
2022-09-07,T-Shirt,Clothing,West,46+,1,31.38,31.38
2024-03-15,Jeans,Clothing,East,18-25,8,56.61,452.88
2022-11-25,Backpack,Accessories,East,46+,2,75.43,150.86
2022-06-14,Backpack,Accessories,West,46+,11,82.43,906.73
2022-07-25,Headphones,Electronics,East,18-25,12,195.85,2350.2
2023-11-01,Backpack,Accessories,North,18-25,6,81.06,486.36
2022-10-06,Laptop,Electronics,West,26-35,10,961.78,9617.8
2022-06-18,Phone,Electronics,South,26-35,17,728.86,12390.62
2022-09-24,Watch,Accessories,East,46+,16,160.13,2562.08
2022-10-01,Jeans,Clothing,South,36-45,10,55.44,554.4
2024-04-28,Sneakers,Footwear,South,46+,13,96.92,1259.96
2023-04-05,Laptop,Electronics,North,26-35,3,1093.73,3281.19
2023-02-11,Jeans,Clothing,South,18-25,13,60.39,785.07
2023-06-17,Headphones,Electronics,North,36-45,6,216.8,1300.8
2022-08-29,Laptop,Electronics,West,46+,16,922.78,14764.48
2023-02-21,T-Shirt,Clothing,East,36-45,16,28.32,453.12
2024-06-02,T-Shirt,Clothing,South,36-45,7,28.53,199.71
2024-04-16,Headphones,Electronics,North,36-45,9,188.47,1696.23
2024-07-12,T-Shirt,Clothing,East,46+,3,26.16,78.48
2022-09-30,Sneakers,Footwear,West,26-35,13,92.71,1205.23
2023-06-09,Phone,Electronics,North,18-25,2,675.63,1351.26
2023-04-26,Backpack,Accessories,East,18-25,1,75.11,75.11
2024-02-20,Jeans,Clothing,West,36-45,5,64.52,322.6
2022-03-26,Headphones,Electronics,East,26-35,17,198.72,3378.24
2023-11-26,Backpack,Accessories,South,18-25,11,82.32,905.52
2024-06-05,Headphones,Electronics,East,18-25,11,180.86,1989.46
2022-09-19,Backpack,Accessories,East,36-45,14,75.57,1057.98
2023-06-24,Jeans,Clothing,East,46+,6,56.82,340.92
2024-10-03,Headphones,Electronics,West,18-25,7,185.02,1295.14
2023-04-16,Headphones,Electronics,North,46+,9,185.61,1670.49
2024-08-14,Watch,Accessories,North,46+,2,147.26,294.52
2024-09-20,Backpack,Accessories,West,18-25,5,73.05,365.25
2022-07-11,T-Shirt,Clothing,East,26-35,6,30.45,182.7
2023-07-13,T-Shirt,Clothing,North,26-35,14,31.44,440.16
2023-05-20,Backpack,Accessories,North,36-45,1,75.59,75.59
2022-09-07,Watch,Accessories,East,18-25,11,138.68,1525.48
2022-06-16,Backpack,Accessories,West,46+,9,80.49,724.41
2022-01-12,Sneakers,Footwear,North,46+,11,96.96,1066.56
2022-09-22,T-Shirt,Clothing,North,36-45,11,30.73,338.03
2022-05-25,Watch,Accessories,North,46+,9,139.4,1254.6
2024-03-27,Phone,Electronics,North,26-35,6,683.41,4100.46
2024-04-04,Jeans,Clothing,South,18-25,10,58.89,588.9
2024-06-04,Jeans,Clothing,South,36-45,4,62.92,251.68
2024-11-15,T-Shirt,Clothing,West,46+,13,28.86,375.18
2024-05-16,Phone,Electronics,West,36-45,20,655.15,13103.0
2024-05-22,Phone,Electronics,North,36-45,15,723.67,10855.05
2022-11-14,Backpack,Accessories,North,36-45,15,78.01,1170.15
2024-09-05,Jeans,Clothing,South,26-35,10,63.03,630.3
2024-12-07,Watch,Accessories,East,18-25,18,136.38,2454.84
2022-04-03,Phone,Electronics,West,46+,4,694.06,2776.24
2023-06-03,Sneakers,Footwear,East,18-25,17,80.39,1366.63
2024-08-05,Headphones,Electronics,South,46+,2,182.41,364.82
2023-09-02,Sneakers,Footwear,West,46+,20,94.48,1889.6
2023-12-01,Headphones,Electronics,South,26-35,3,208.83,626.49
2023-06-16,Phone,Electronics,West,18-25,1,684.31,684.31
2022-01-28,Headphones,Electronics,West,46+,13,213.68,2777.84
2024-09-23,Jeans,Clothing,East,46+,10,54.13,541.3
2022-10-04,Laptop,Electronics,South,18-25,1,1038.17,1038.17
2023-01-21,Laptop,Electronics,South,46+,5,1028.92,5144.6
2024-06-11,T-Shirt,Clothing,North,36-45,15,26.96,404.4
2024-05-14,Laptop,Electronics,North,26-35,5,1046.71,5233.55
2024-06-30,Backpack,Accessories,West,18-25,15,80.35,1205.25
2023-02-17,Jeans,Clothing,West,18-25,11,53.19,585.09
2024-06-03,Watch,Accessories,West,36-45,2,148.63,297.26
2024-09-22,Backpack,Accessories,South,18-25,17,71.4,1213.8
2023-10-09,Phone,Electronics,East,46+,16,645.45,10327.2
2023-12-12,Backpack,Accessories,West,18-25,6,75.65,453.9
2023-01-29,Backpack,Accessories,East,46+,8,79.12,632.96
2023-11-26,Backpack,Accessories,South,36-45,13,86.26,1121.38
2024-01-08,Backpack,Accessories,South,26-35,10,82.01,820.1
2022-06-26,Backpack,Accessories,South,26-35,7,73.57,514.99
2024-10-04,Phone,Electronics,West,46+,10,661.91,6619.1
2022-04-07,Laptop,Electronics,East,36-45,12,1034.35,12412.2
2022-12-24,Laptop,Electronics,North,36-45,14,921.87,12906.18
2023-04-10,Phone,Electronics,South,46+,9,768.01,6912.09
2023-12-29,Laptop,Electronics,East,26-35,17,1019.84,17337.28
2022-08-02,Laptop,Electronics,West,46+,4,1093.84,4375.36
2022-07-28,Laptop,Electronics,North,26-35,4,1073.1,4292.4
2024-01-11,Headphones,Electronics,East,46+,17,198.94,3381.98
2022-07-23,Headphones,Electronics,East,36-45,5,183.99,919.95
2023-02-18,Backpack,Accessories,West,18-25,8,84.29,674.32
2024-08-28,Sneakers,Footwear,East,26-35,3,84.84,254.52
2024-04-29,Sneakers,Footwear,South,26-35,17,87.61,1489.37
2023-04-13,Headphones,Electronics,West,46+,14,214.84,3007.76
2024-11-23,Sneakers,Footwear,North,46+,5,93.81,469.05
2024-11-25,Phone,Electronics,North,36-45,11,685.25,7537.75
2022-12-03,Watch,Accessories,North,46+,2,153.77,307.54
2022-11-06,Laptop,Electronics,East,46+,13,1076.08,13989.04
2023-09-16,Sneakers,Footwear,East,18-25,9,96.12,865.08
2022-10-28,Watch,Accessories,West,26-35,18,152.71,2748.78
2024-06-24,Sneakers,Footwear,West,26-35,10,81.6,816.0
2023-11-17,Watch,Accessories,South,36-45,7,136.87,958.09
2023-10-02,Sneakers,Footwear,South,18-25,1,95.95,95.95
2023-06-14,T-Shirt,Clothing,East,46+,17,26.74,454.58
2022-05-03,Sneakers,Footwear,East,36-45,4,80.95,323.8
2022-09-13,Backpack,Accessories,East,18-25,15,76.46,1146.9
2023-04-29,T-Shirt,Clothing,East,36-45,10,29.97,299.7
2022-10-14,Watch,Accessories,South,18-25,11,149.49,1644.39
2023-01-30,Sneakers,Footwear,West,18-25,5,92.77,463.85
2024-04-23,Phone,Electronics,North,18-25,14,753.31,10546.34
2024-09-02,T-Shirt,Clothing,West,18-25,12,30.03,360.36
2024-04-04,Watch,Accessories,East,46+,14,163.8,2293.2
2024-09-29,Watch,Accessories,South,26-35,17,137.89,2344.13
2024-07-26,Headphones,Electronics,North,26-35,15,197.94,2969.1
2022-11-18,Sneakers,Footwear,North,46+,4,82.25,329.0
2023-08-17,Laptop,Electronics,South,18-25,12,960.02,11520.24
2024-02-06,Jeans,Clothing,East,46+,1,62.44,62.44
2022-10-19,Watch,Accessories,North,36-45,10,140.52,1405.2
2024-09-28,Laptop,Electronics,North,36-45,3,1073.01,3219.03
2024-05-05,Backpack,Accessories,East,46+,11,83.45,917.95
2024-08-31,Headphones,Electronics,South,46+,15,205.66,3084.9
2022-11-02,Sneakers,Footwear,North,46+,13,84.24,1095.12
2024-03-20,Sneakers,Footwear,North,46+,9,91.6,824.4
2022-12-06,Laptop,Electronics,East,18-25,18,916.11,16489.98
2022-04-19,T-Shirt,Clothing,West,18-25,4,29.92,119.68
2024-12-25,Headphones,Electronics,North,36-45,7,188.86,1322.02
2024-06-28,Phone,Electronics,East,46+,19,635.39,12072.41
2022-02-17,Sneakers,Footwear,West,26-35,14,80.53,1127.42
2024-12-17,Sneakers,Footwear,West,36-45,3,82.14,246.42
2022-07-23,Headphones,Electronics,East,26-35,6,189.27,1135.62
2022-07-03,Headphones,Electronics,East,46+,6,181.44,1088.64
2023-10-29,Headphones,Electronics,North,18-25,10,194.62,1946.2
2023-10-18,Headphones,Electronics,West,36-45,9,194.05,1746.45
2022-09-05,Laptop,Electronics,South,26-35,20,1016.19,20323.8
2024-10-06,Watch,Accessories,North,36-45,2,143.59,287.18
2024-04-13,Phone,Electronics,West,18-25,14,717.67,10047.38
2022-02-08,Jeans,Clothing,North,26-35,18,60.79,1094.22
2022-09-15,Jeans,Clothing,West,46+,3,63.09,189.27
2024-10-21,T-Shirt,Clothing,South,36-45,18,31.81,572.58
2023-05-18,Watch,Accessories,West,18-25,1,158.32,158.32
2023-08-16,Headphones,Electronics,North,18-25,16,189.98,3039.68
2023-05-29,Watch,Accessories,East,26-35,19,159.15,3023.85
2023-07-31,Laptop,Electronics,South,18-25,10,917.03,9170.3
2022-09-09,Headphones,Electronics,East,46+,7,203.4,1423.8
2023-10-14,Sneakers,Footwear,East,46+,9,84.48,760.32
2023-10-21,Sneakers,Footwear,South,46+,20,85.95,1719.0
2022-10-01,Laptop,Electronics,West,18-25,1,1033.51,1033.51
2024-04-26,Backpack,Accessories,West,18-25,3,79.61,238.83
2024-06-30,Phone,Electronics,East,46+,20,679.14,13582.8
2022-12-29,Laptop,Electronics,North,46+,12,1086.16,13033.92
2024-06-29,Laptop,Electronics,South,18-25,9,1035.07,9315.63
